Familia,Tàxon,Noms populars
Santalàcies,Viscum cruciatum Sieber ex Boiss.,"['Visc', 'Muérdago', 'Vesc']"
Compostes,Zinnia elegans L.,"['Rosa mística', 'Rascamoño']"
Crassulàcies,Aeonium arboreum Webb et Bethel,['Consolva']
Rosàcies,Alchemilla vulgaris L.,"[""Fulla d'arròs"", 'Herba de tall']"
Rosàcies,Alchemilla vulgaris L. subsp. connivens (Buser) Camus,['Herba de tall']
Asfodelàcies,Aloe prolifera Haw.,"['bàlsam', 'pita', 'Bàlsam de pita']"
Bromeliàcies,Ananas comosus (Stickm.) Merr.,"['Pinya', 'Pinya americana', 'Pinya tropical']"
Amarantàcies,Beta vulgaris L. subsp. vulgaris,['Bleda']
Gramínies,Bromus hordeaceus L. subsp. hordeaceus,['Cua de mula']
Cucurbitàcies,Bryonia cretica L.,['Carbassina']
Umbel·líferes,Bupleurum fruticescens L.,"['Hierba de la inflamación', 'Hierba  cebollà', 'Palito de oro']"
Campanulàcies,Campanula persicifolia L.,"['Campana', 'Campaneta', 'Campaneta blava']"
Solanàcies,Capsicum sp.,"['Prebe bord', 'Bitxo', 'Prebe bord coent']"
Compostes,Carduus tenuiflorus Curtis,"['Escard', 'Card', 'Celidònia']"
Papilionàcies,Cassia italica (Mill.) Lam ex Andrews,"['Senet', 'Sen']"
Compostes,Centaurea scabiosa L.,"['Caferrada', 'Capçuda', 'Escabiosa']"
Gencianàcies,Centaurium quadrifolium (L.) G.López et Ch.E.Jarvis,['Centaula']
Convolvulàcies,Convolvulus althaeoides L.,"['Corretjola', 'Corriola', 'Escorretjola']"
Amarantàcies,Chenopodium sp.,"['Blet', 'Bleit']"
Gramínies,Dactylis glomerata L.,"['Herba blanca', 'Herba fina', 'Fenal']"
Compostes,Echinops ritro L. subsp. ritro,['Espines blaves']
Mirtàcies,Eucalyptus camaldulensis Dehnh.,"['Caliptu*', 'Eucaliptus bord', 'Caliptu* bord']"
Euforbiàcies,Euphorbia helioscopia L.,"['Bambollera', 'Llerca', 'Lletera']"
Euforbiàcies,Euphorbia nicaeensis All. subsp. nicaeensis,"['Llerca', 'Lleterola']"
Orobancàcies,Euphrasia stricta D.Wolff ex J.F.Lehm.,['Eufràsia']
Rosàcies,Fragaria virginiana Duchesne,['Maduixa']
Compostes,Galactites tomentosa Moench,"['Calcida', 'Caps de burro', 'Card']"
Papaveràcies,Glaucium flavum Crantz,"['Roella groga', 'Rosella', 'Cascall de marina']"
Cistàcies,Helianthemum oelandicum (L.) DC. in Lam. et DC.,['Herba del mal de coll']
Papilionàcies,Hippocrepis balearica Jacq.,"['Violeta de penyal', 'Viola de penyal']"
Compostes,Inula graveolens (L.) Desf.,"['Àrnica', 'Herba pansera', 'Livardo']"
Crucíferes,Lepidium draba L.,"['Favot', 'Bàbol', 'Brançallada']"
Crucíferes,Lepidium latifolium L.,"['Coclearia', ""Herba d'arenes"", 'Herba fetgera']"
Boraginàcies,Lithospermum purpurocaeruleum L.,"['Herba de la pedreta', 'Herba pedrera', 'Mill gruà']"
Cucurbitàcies,Luffa cylindrica (L.) Roem.,"['Carabassa', ""Carabassera d'esponges"", 'Fregall']"
Cariofil·làcies,Lychnis coronaria (L.) Desr. in Lam,"['Bàlsam', 'Bàlsam pelut']"
Labiades,Mentha ×gentilis L.,"['Menta de la sopa', 'Menta de sopa', 'Menta de fer sopa']"
Umbel·líferes,Pastinaca sativa L.,"['Xirivia', 'Xurivia']"
Gramínies,Phalaris canariensis L.,"['Escaiola', 'Alpiste']"
Arecàcies,Phoenix canariensis Chabaud,"['Palmera', 'Dàtil', 'Fasser']"
Labiades,Plectranthus sp.,"['Encens', 'Flor del diner', 'Planta del diner']"
Salicàcies,Populus ×canadensis Moench,"['Pollancre bordil', 'Arbre', 'Poll']"
Rosàcies,Potentilla erecta (L.) Räuschel,"['Sietenrama', 'Setenrama', 'Tormentil·la']"
Rosàcies,Prunus cerasifera Ehrh.,"['Cascavellic', 'Mirabolà', 'Mirabolà']"
Ramnàcies,Rhamnus lycioides L.,"['Corniol', 'Garguller']"
Rosàcies,Rosa pouzinii Tratt.,"['Gavarrera', 'Roser silvestre']"
Rosàcies,Rosa canina L. × Rosa gallica L.,['Roser blanc']
Sacaromicetàcies,Saccharomyces cerevisiae Hansen,['Llevat']
Labiades,Satureja calamintha (L.) Scheele subsp. glandulosa (Req.) Gams,"['Clement', 'Menta borda', 'Poriol bord']"
Saxifragàcies,Saxifraga longifolia Lap.,['Corona de Rei']
Compostes,Scorzonera laciniata L.,['Barballa']
Anacardiàcies,Schinus molle L.,"['Pebrer', 'Pebre verd']"
Compostes,Tagetes minuta L.,"['Comí', 'Herba pudent', 'Menta americana']"
Papilionàcies,Trifolium angustifolium L.,"['Farratge', 'Fenc', 'Fenc bord']"
Papilionàcies,Trifolium sp.,['Trèvol']
Gramínies,Triticum sp.,['blat']
Liliàcies,Tulipa sp.,"['Tulipán  groc', 'Tulipán  vermell', 'Tulipán']"
Ulmàcies,Ulmus sp.,"['Orme', 'om']"
Plantaginàcies,Veronica austriaca L.,['Camedio']
Papilionàcies,Vicia cracca L. subsp. cracca,"['Veça', 'Veça salvatge', 'Serralena']"
Violàcies,Viola tricolor L.,"['Pensament', 'Pensament silvestre']"
Aceràcies,Acer campestre L.,"['Auró', 'Auró blanc']"
Aceràcies,Acer monspessulanum L.,"['Agró', 'Agrú', 'Auró negre']"
Labiades,Ajuga chamaepitys (L.) Schreb.,"['Retorçó', 'Herba del torçó']"
Asfodelàcies,Aloe arborescens Mill.,['Cames de pop']
Amaril·lidàcies,Allium ampeloprasum L. subsp. ampeloprasum,"['Allassa', 'Porrerel', 'Porro de bosc']"
Compostes,Anacyclus valentinus L.,['Bolits']
Primulàcies,Anagallis arvensis L. subsp. foemina (Mill.) Schinz et Thell.,"['Herba de la pulmonia', 'Herba de les embromonies']"
Papilionàcies,Anagyris foetida L.,"['Garrover del dimoni', 'Garrover bord', 'Garrover de dimoni']"
Plantaginàcies,Antirrhinum barrelieri Boreau subsp. litigiosum (Pau) O.Bolòs et J.Vigo,"['Sabateta de la Mare de Déu', 'Esquitxagós', 'Gallets']"
Compostes,Artemisia campestris L. subsp. campestris,['Llemenosa']
Asparagàcies,Asparagus albus L.,"['Espàrec', ""Espàrec d'ombra"", 'Espàrec de gat']"
Asfodelàcies,Asphodelus cerasiferus Gay,"['Albió', 'Gamón', 'Bironer']"
Aspleniàcies,Asplenium adiantum-nigrum L.,"['Falguera', 'Falzia boscana', 'Falzia negra']"
Amarantàcies,Atriplex halimus L.,"['Donzell', 'Salat', 'Salat blanc']"
Ofioglossàcies,Botrychium lunaria (L.) Swartz,['Herba de les llunetes']
Crucíferes,Brassica oleracea L. subsp. oleracea,"['Col aloma', 'Col de ruc']"
Campanulàcies,Campanula rotundifolia L.,"['Campaneta blava', 'Salsufràgia']"
Campanulàcies,Campanula trachelium L.,"['Campaneta', 'Herba de la rampa', 'Ortiga morta']"
Ciperàcies,Carex pendula Huds.,"['Canyota', 'Xerreix bord']"
Compostes,Carlina acaulis L. subsp. caulescens (Lam.) Schübl et Martens,"['Carlina', 'Escardassa']"
Compostes,Carlina corymbosa L. subsp. hispanica (Lam.) O.Bolòs et J.Vigo,['Assotacristos']
Cladoniàcies,Cladonia sp.,"['Musgo', 'Herba de la roca', 'Herba roquera']"
Ranunculàcies,Clematis cirrhosa L.,"['Vidauba', 'Villauba']"
Compostes,Cnicus benedictus L.,"['Cardo santo', 'Card sant', 'Cascall']"
Papilionàcies,Colutea arborescens L.,"['Plep', 'Espantalobos', 'Espantallops']"
Boraginàcies,Cynoglossum officinale L.,"['Llengua de gat', 'Bisneula', 'Llengua de gos']"
Papilionàcies,Chamaespartium sagittale (L.) P.Gibbs subsp. sagittale,['Itjol']
Driopteridàcies,Dryopteris filix-mas (L.) Schott subsp. filix-mas,['Falguera']
Gramínies,Echinochloa crus-galli (L.) Beauv.,"['Pota de gall', 'Xerreix']"
Boraginàcies,Echium vulgare L. subsp. vulgare,"['Llengua de bou', 'Bourrage']"
Geraniàcies,Erodium foetidum (L. et Nath.) L'Hér.,"['Cargolera', 'Cargola']"
Geraniàcies,Erodium malacoides (L.) L'Hér.,"['Curripeus', 'Malva']"
Euforbiàcies,Euphorbia segetalis L.,"['Llerca', 'Llerquera']"
Euforbiàcies,Euphorbia segetalis L. subsp. pinea (L.) Hayek,"['Lletrera', 'Lletera']"
Compostes,Galinsoga parviflora Cav.,['Morterol']
Rubiàcies,Galium lucidum All. subsp. fruticescens (Cav.) A. et O.Bolòs,"['Hierba mosquera', 'Herba blanca', 'Herba de los bosques']"
Rubiàcies,Galium odoratum (L.) Scop.,['Herba prima']
Papilionàcies,Genista hispanica L.,"['Retama', 'Cascaula']"
Gencianàcies,Gentiana acaulis L.,"['Campaneta', 'Jançana blua', 'Genciana']"
Papilionàcies,Glycine max (L.) Merr.,['Soja']
Compostes,Helichrysum italicum (Roth) G.Don f. in Loundon subsp. serotinum (Boiss.) P.Fourn.,"['Mançanella borda', 'Mançanilla', 'Mançanilla de bosc']"
Ranunculàcies,Helleborus viridis L. subsp. occidentalis (Reut.) Schiffner,"['Herba de Sant Joan', 'Escampador de gel']"
Gutíferes,Hypericum maculatum Crantz,"['Flor de pericó', 'Herba de cop', 'Pericó']"
Juncàcies,Juncus acutus L.,"['Junquilla', 'Jonc']"
Verbenàcies,Lantana camara L.,"['Bandera espanyola', 'Caputxina']"
Papilionàcies,Lathyrus sp.,"['Tapissot', 'Guixeta', 'Llapissot bord']"
Plantaginàcies,Linaria cymbalaria (L.) Mill.,"['Picardia', 'Setembrina']"
Linàcies,Linum perenne L.,['Herba ronyonera']
Crucíferes,Lunaria annua L.,"['Moneda de Judas', 'Flor de plata', 'Fulla de plata']"
Crucíferes,Matthiola incana (L.) R.Br.,['Violera']
Amaril·lidàcies,Narcissus pseudonarcissus L.,['Puigestela']
Compostes,Onopordum acanthium L.,"['Cardo borriquero', 'Cardot']"
Asparagàcies,Ornithogalum umbellatum L.,"['All bord', 'All de bruixa']"
Cariofil·làcies,Paronychia kapela (Hacq.) Kerner,"['Herba sanguinària', 'Sangonària', 'Sanguinària']"
Lauràcies,Persea gratissima Gaertn.f.,"['Aguacate', 'Avocate*']"
Gramínies,Phalaris canariensis L. subsp. canariensis,['Escaiola']
Pinàcies,Picea abies (L.) Karsten,"['Pivet', 'Avet']"
Compostes,Picris echioides L.,['llengua de bou']
Plantaginàcies,Plantago ovata Forsk.,"['Plantatge', 'Llantén']"
Poligonàcies,Polygonum bistorta L.,['Bistorta']
Fagàcies,Quercus pyrenaica Willd.,['Reboll']
Crucíferes,Raphanus raphanistrum L. subsp. raphanistrum,"['Ravenissa', 'Rave']"
Ramnàcies,Rhamnus ludovici-salvatoris Chodat,"['Aladern', 'Llampúdol', 'Llampúdol bord']"
Papilionàcies,Sarothamnus arboreus (Desf.) Webb subsp. catalaunicus (Webb) C.Vic.,"['Ginestó', 'Ginestell']"
Labiades,Satureja rouyana Briq.,"['Nepta', 'Remendòria']"
Gramínies,Setaria pumila (Poiret) Schultes in Schultes et Schultes f.,"['Xerreix', ""Xerreix d'espiga""]"
Labiades,Sideritis hirsuta L. subsp. emporitana Cad.,['Herba de Sant Antoni']
Labiades,Sideritis romana L.,"['Te salvatge', 'Té salvaje']"
Labiades,Sideritis scordioides L.,"['Esparbonella', 'Herba de Sant Antoni', 'Planta de la pulmonia']"
Labiades,Sideritis spinulosa Barnades ex Asso,"['Herba de la llanceta', 'Herba de la pulmonia', 'Herba del miracle']"
Solanàcies,Solanum linnaeanum Hepper et Jaeger,"['Bolles del dimoni', 'Metzinera', 'Poma del desert']"
Zignematàcies,Spirogyra mirabilis,['Verdet']
Labiades,Stachys sylvatica L.,['Menta borda']
Boraginàcies,Symphytum tuberosum L. subsp. tuberosum,"['Consolda', 'Simfit']"
Tamaricàcies,Tamarix africana Poiret,"['Tamarindo', 'Bruc de riera']"
Umbel·líferes,Thapsia garganica L.,"['Edri', 'Canyafel', 'Èdril']"
Papilionàcies,Trifolium nigrescens Viv.,['Trèvol']
Gramínies,Triticum spelta L.,['Espelta']
Papilionàcies,Vicia cracca L.,"['Llegum', 'Veça']"
Papilionàcies,Vicia hirsuta (L.) S.F.Gray,"['Veça', 'Escanyagats', 'Veça borda']"
Pinàcies,"Abies ×masjoanis D.Soto, J.I.García Viñas et E.P.Bujarrabal","['Avet', 'Avet del Montseny']"
Aceràcies,Acer opalus Mill.,['Blada']
Compostes,Achillea odorata L.,"['Camamirla borda', 'Lladracà', 'Sardineta']"
Rosàcies,Alchemilla alpina L. subsp. saxatilis (Buser) Rouy et Camus,['Peucrist']
Amaril·lidàcies,Allium sphaerocephalon L.,"['Calabruixa', 'All silvestre']"
Amarantàcies,Amaranthus deflexus L.,"['Blet', 'Blet verd']"
Primulàcies,Anagallis arvensis L. subsp. arvensis,['Borró']
Annonàcies,Annona cherimola Mill.,['Xirimoia']
Plantaginàcies,Antirrhinum asarina L.,['Descadellagossos']
Ranunculàcies,Aquilegia vulgaris L.,['Campana']
Ranunculàcies,Aquilegia vulgaris L. subsp. vulgaris,"['Paperina', 'Campaneta de Santa Teresa']"
Aristoloquiàcies,Aristolochia longa L. subsp. paucinervis (Pomel) Batt. in Batt. et Trab.,['Herba felera']
Asparagàcies,Aspidistra elatior Blume,"['Cossiol de salón', 'Cossiol de fulles', 'Fulla de salón']"
Aspleniàcies,Asplenium fontanum (L.) Bernh. in Schrad.,['Doradilla']
Crucíferes,Brassica rapa L. subsp. oleifera DC.,"['Colza', 'Colza']"
Convolvulàcies,Calystegia sepium (L.) R.Br.,"['Corretjola blanca', 'Corretjola gran', 'Corretjola major']"
Teàcies,Camellia japonica L.,['Camèlia']
Compostes,Carduncellus monspelliensium All.,['Herba dels erístols']
Aizoàcies,Carpobrotus acinaciformis (L.) Bolus,['Pata de gall']
Pinàcies,Cedrus atlantica (Endl.) Carrière,['Cedre']
Gencianàcies,Centaurium erythraea Rafn subsp. erythraea,['Herba de Santa Margarida']
Caprifoliàcies,Centranthus ruber (L.) DC.,"['Milamores', 'Milamors', 'Santjordi']"
Cistàcies,Cistus clusii Dunal multiflorus Demoly,['Esteperol']
Arecàcies,Cocos nucifera L.,"['Coco', 'Sabó de coco']"
Asparagàcies,Convallaria majalis L.,['Muguet']
Convolvulàcies,Convolvulus sp.,"['Corretjola', 'Correjola']"
Papilionàcies,Coronilla emerus L. subsp. emerus,"['Senet bord', 'Petador']"
Gramínies,Cymbopogon citratus Stapf,"['Citronela', 'Herballuïsa americana', ""Herballuïsa d'Amèrica""]"
Ranunculàcies,Delphinium ajacis L.,['Espuela']
Ranunculàcies,Delphinium peregrinum L. subsp. verdunense (Balb.) P. Cout.,"['Herbacolera', 'Espoleta']"
Plantaginàcies,Digitalis minor L.,['Didalera']
Plantaginàcies,Digitalis purpurea L.,"['Digitalis', 'Didalera', 'Digital']"
Driopteridàcies,"Dryopteris carthusiana (Villar) H.P.Fuchs subsp. dilatata (Hoffm.) O.Bolòs, J.Vigo, Masalles et Ninot","['Foguera mosquera', 'Foguerola', 'Foguerulla']"
Zingiberàcies,Elettaria cardamomum Maton,"['Cardamom', 'Cardamomo']"
Equisetàcies,Equisetum ramosissimum Desf. subsp. ramosissimum,"['Cua de cavall', 'Cua de rata']"
Geraniàcies,Erodium moschatum (L.) L'Hér. in Ait.,['Rellotges']
Umbel·líferes,Eryngium maritimum L.,['Escard marí']
Euforbiàcies,Euphorbia marginata Pursh,"['Flor de núvia', 'Flor de la núvia']"
Euforbiàcies,Euphorbia nicaeensis All.,['Lletrera']
Celastràcies,Evonymus europaeus L.,['Evònim']
Oleàcies,Fraxinus ornus L.,"['Fresno', 'Fleix', 'Freixe']"
Papaveràcies,Fumaria parviflora Lam.,"['Julivert bord', 'Fumària']"
Rubiàcies,Galium maritimum L.,"['Herba cuquera', 'Herba espunyidera', 'Herba mosquera']"
Rubiàcies,Galium pumilum Murray,"['Herba melera', 'Herba prima', 'Salsufragi']"
Rubiàcies,Galium sp.,"['Rèvola', 'Rotgeta']"
Papilionàcies,Genista cinerea (Vill.) DC. in Lam. et DC.,"['Ginesta', 'Ginesta borda', 'Ginestra']"
Papilionàcies,Genista patens DC.,"['Ginesta vera', 'Ginesta']"
Papilionàcies,Genista pilosa L.,"['Espergell', 'Ginestell']"
Cistàcies,Helianthemum nummularium (L.) Mill. subsp. tomentosum (Scop.) Schinz et Thell. in Schinz et Keller,"['Espergell', 'Olivarda', 'Volivarda']"
Cistàcies,Helianthemum origanifolium (Lam.) Pers. subsp. molle (Cav.) F.Q. et Rothm.,"['Hierba del hígado', 'Mal de fetge']"
Gutíferes,Hypericum perfoliatum L.,"['Herba de sant Joan', 'Àrnica']"
Compostes,Inula helenium L.,"['Ala', 'Àrnica']"
Juncàcies,Juncus trifidus L.,['Herba prima de Rojà']
Caprifoliàcies,Knautia dipsacifolia Kreutzer,"['Escabiosa', 'Escopiosa']"
Amarantàcies,Kochia scoparia (L.) Schrad.,['Mirambell']
Umbel·líferes,Laserpitium latifolium L.,['Angèlica']
Compostes,Leontodon hispidus L.,['Queixalets']
Oleàcies,Ligustrum lucidum Ait.f.,['Troana']
Linàcies,Linum tenuifolium L.,"['Herba ronyonera', 'Herba terrera', 'Linet silvestre']"
Caprifoliàcies,Lonicera xylosteum L.,"['Lligabosc', 'Boix moll']"
Papilionàcies,Lotus corniculatus L.,['Banya de cabra']
Papilionàcies,Medicago sp.,['Melgó']
Papilionàcies,Melilotus alba Medic.,['Alfals bord']
Euforbiàcies,Mercurialis tomentosa L.,"['Herba blanca', 'Mercolatge']"
Papilionàcies,Ononis spinosa L. subsp. spinosa,"['Ugó', 'Augó']"
Orquidàcies,Ophrys sp.,"['Orquídia', 'Orquídia abellera', 'Vespeta']"
Gramínies,Oryzopsis miliacea (L.) Asch. et Graebn.,"['Herba prima', 'Fenal no vertader']"
Peoniàcies,Paeonia mascula (L.) Mill. subsp. cambessedesii (Willk.) O.Bolòs et J.Vigo,"['Peònia', 'Paloni de Bóquer']"
Umbel·líferes,Peucedanum officinale L. subsp. stenocarpum (Boiss. et Reut.) F.Q.,"['Cua de porc', 'Fonoll de porc', 'Tora']"
Labiades,Phlomis italica L.,"['Estepa blenera', 'Oreja de cordero']"
Lentibulariàcies,Pinguicula vulgaris L.,['Plantatge blanc']
Plantaginàcies,Plantago lagopus L.,"['Herba de cinc venes', 'Herba de ses cinc venes', 'Plantatge']"
Poligonàcies,Polygonum aviculare L. subsp. bellardii (All.) O.Bolòs et J.Vigo,['Passacamins']
Poligonàcies,Polygonum aviculare L. subsp. aviculare,"['Cordó', 'Herba de cent nuus', 'Herba terrera']"
Rosàcies,Potentilla caulescens L.,"['Te del nord', 'Mal-llaura']"
Rosàcies,Prunus cerasus L.,"['Cirera guinda', 'Cirerer guindo', 'Guinda']"
Compostes,Pulicaria dysenterica (L.) Bernh.,"['Àrnica', 'Àrnica mini']"
Ramalinàcies,Ramalina capitata (Ach.) Nyl.,['Liquen']
Ranunculàcies,Ranunculus sp.,['Gata rabiosa']
Ramnàcies,Rhamnus pumila Turra,['Herba del mal de pedra']
Poligonàcies,Rheum palmatum L.,"['Rhubarbe', 'Ribarbo']"
Rubiàcies,Rubia peregrina L. subsp. longifolia (Poiret) O.Bolòs,"['Rèvola', 'Raspeta']"
Rosàcies,Rubus bifrons Vest in Tratt.,['Romeguera']
Poligonàcies,Rumex acetosella L.,"['Oselha', 'Agrelleta', 'Vinagrella']"
Rosàcies,Sanguisorba officinalis L.,"['Hierba de la mora', 'Pimpinela mayor', 'Sanguina']"
Cariofil·làcies,Saponaria ocymoides L.,"['Herba pulmonària', 'Herba sabonosa', 'Saponària']"
Saxifragàcies,Saxifraga callosa Sm. in Dickson subsp. catalaunica (Boiss.) D.A.Webb,"['Corona de rei', 'Corona de reina']"
Esclerodermatàcies,Scleroderma sp.,['Pet de llop']
Gramínies,Setaria italica (L.) Beauv.,['Panissola']
Cariofil·làcies,Silene ciliata Pourr.,['Herba ronyonera']
Umbel·líferes,Smyrnium olusatrum L.,"['Aleixandre', 'Aleixandri']"
Gramínies,Sporobolus indicus (L.) R.Br.,['Cua de rata']
Gramínies,Stipa parviflora Desf.,"['Bitxella', 'Bitzell', 'Pelaguer']"
Tamaricàcies,Tamarix sp.,['Tamarell']
Dioscoreàcies,Tamus communis L.,"['Tàrrec', 'Gatmarimon']"
Cariofil·làcies,Telephium imperati L. subsp. imperati,['Herba felera']
Labiades,Teucrium polium L. subsp. aragonense (Loscos et Pardo) O.Bolòs et J.Vigo,"['Poleo macho', 'Poliol mascle', 'Timonet macho']"
Bromeliàcies,Tillandsia sp.,"[""Calvell de l'aire"", ""Clavell de l'aire"", 'Clavellinera']"
Tuberàcies,Tuber melanosporum Vitt.,['Tòfona']
Papilionàcies,Ulex parviflorus Pourr. subsp. parviflorus,"['Argentina', 'Argelac']"
Escrofulariàcies,Verbascum rotundifolium Ten. subsp. haenseleri (Boiss.) Murb.,"['Herba santjoanera', 'Lleparassa']"
Plantaginàcies,Veronica officinalis L.,"['Véronique', 'Herba de Santa Caterina', 'Te']"
Plantaginàcies,Veronica serpyllifolia L.,"[""Herba de l'ull"", ""Herba del mal d'ull""]"
Adoxàcies,Viburnum opulus L.,"['Bola de neu', 'Mató', 'Pompa']"
Violàcies,Viola bubanii Timb.-Lagr.,"['Pensament', 'Violeta']"
Violàcies,Viola tricolor L. subsp. arvensis (Murray) Gaud.,"['tridentata', 'Violeta', 'Violeta trinitària']"
Papilionàcies,Wisteria sinensis (Sims) Sweet,"['Glicina', 'Glicínia', 'Lilà']"
Compostes,Xanthium strumarium L.,"['Caixurro gran', 'Lleparassa']"
Gramínies,×Triticosecale sp.,['Triticale']
Malvàcies,Abutilon theophrasti Medik.,['Soja borda']
Aceràcies,Acer opalus Mill. subsp. granatense (Boiss.) F.Q. et Rothm.,"['Auró', 'Blada']"
Aceràcies,Acer rubrum L.,['Arce']
Ranunculàcies,Aconitum vulparia Reichenb.,['Tora']
Compostes,Achillea chamaemelifolia Pourr.,['Setge']
Gramínies,Aegilops geniculata Roth,"['Blat de perdiu', 'Pèl de moix']"
Rodomelàcies,Alsidium helminthocorton (Schw.) Kütz.,['Herba cuquera']
Amaril·lidàcies,Allium triquetrum L.,['Vitrac']
Amaril·lidàcies,Amaryllis belladonna L.,['Belladona']
Plumbaginàcies,Armeria alliacea (Cav.) Hoffms. et Link,"['Escabiosa', 'Escopiosa']"
Aspleniàcies,Asplenium ruta-muraria L.,"['ruta-muraria', 'Ruda de Muro']"
Compostes,Aster novi-belgii L.,['Setembrina']
Compostes,Atractylis cancellata L.,['Card']
Labiades,Ballota nigra L.,"['Marrubio', 'Nepta']"
Crucíferes,Biscutella laevigata L.,"['Anteojos', 'Herba de les llunetes']"
Nictaginàcies,Bougainvillea sp.,"['Bocambília', 'Violeta']"
Gramínies,Bromus hordeaceus L.,['Cua de cavall']
Gramínies,Bromus madritensis L.,"['Estrepasacs', 'Trapa-sac']"
Gramínies,Bromus sterilis L.,['Trapa-sac']
Compostes,Callistephus chinensis (L.) Nees,"['Coronado', 'Sol coronat']"
Solanàcies,Capsicum annuum L. var. annuum,"['pebre', 'Pebrotera']"
Crucíferes,Cardamine pyrenaica (L. in Loefl.) O.Kuntze subsp. pyrenaica,['Greixes']
Compostes,Carlina corymbosa L.,['Espinac']
Papilionàcies,Cassia fistula L.,['Canyafístula']
Compostes,Centaurea nigra L. subsp. nigra,['Cabeçuda']
Compostes,Centaurea jacea L. × Centaurea linifolia L.,['Cap de burro']
Cariofil·làcies,Cerastium tomentosum L.,['Nevada herba']
Papilionàcies,Cercis siliquastrum L.,"['Árbol de la pasión', 'Árbol del amor']"
Parmeliàcies,Cetraria islandica (L.) Ach.,"['Herba de pi', ""Liquen d'Islàndia""]"
Compostes,Cirsium sp.,"['Calcida', 'Cardot']"
Cistàcies,Cistus sp.,"['Estepa', 'Mòdega']"
Rutàcies,Citrus grandis (L.) Osbeck,"['Pomelo', 'Pomelo']"
Rutàcies,Citrus medica Risso. var. cidra,"['Poncem', 'Poncemer']"
Rutàcies,Citrus paradisi Macfadyen in Hooker,"['Pamplemousse', 'Pomelo']"
Gramínies,Coix lacryma L.,"['Llàgrimes de Job', 'Llàgrimes de viu']"
Aràcies,Colocasia esculenta (L.) Schott in Schott et Endl.,"['Ñame', 'Taro']"
Convolvulàcies,Convolvulus lanuginosus Desr.,"['Herba de setge', 'Herba setge']"
Crucíferes,Coronopus squamatus (Forsk.) Asch.,"['Banyeta de cervo', 'Cervellina']"
Gramínies,Cortaderia selloana (Schultes et Schultes f.) Asch. et Graebner,['Plumero']
Euforbiàcies,Croton sp.,"['Crotó', 'Oli de crotó']"
Cupressàcies,Cupressus sempervirens L. f. horizontalis,"['Xifrer baix', 'Xifrer de fer tallavents']"
Ciperàcies,Cyperus longus L.,['Serrana']
Rosàcies,Chaenomeles japonica (Thunb.) Lindl.,"['Arç de Sant Josep', 'Cedònia']"
Umbel·líferes,Chaerophyllum temulum L.,['Cicuta']
Crucíferes,Cheiranthus cheiri L.,['Clavellina']
Amarantàcies,Chenopodium vulvaria L.,"['Estiravella', 'Herba dels nínxols']"
Compostes,Chrysanthemum frutescens L.,['Margalida']
Cariofil·làcies,"Dianthus seguieri Vill. subsp. requienii (Godr.) Bernal, Laínz et Muñoz Garm.",['Clavell de bosc']
Compostes,Echinacea purpurea (L.) Moench,['Equinàcia']
Cactàcies,Echinocactus grusonii Hildm.,"['Asiento  de sa sogra', 'Grosini']"
Poligonàcies,Emex spinosa (L.) Campd.,"['Bledera borda', 'Picatalons']"
Equisetàcies,Equisetum palustre L.,"['Herba estanyera', 'Herba prima']"
Papilionàcies,Erinacea anthyllis Link,"['Coixinet de monja', 'Coixinet de pastor']"
Geraniàcies,Erodium malacoides (L.) L'Hér. subsp. malacoides,"['Agulla', 'Agulloles']"
Euforbiàcies,Euphorbia prostrata Ait.,"['Herba berruguera', 'Morrut']"
Orobancàcies,Euphrasia officinalis L.,"['Rompepiedras', 'Eufràsia']"
Zigofil·làcies,Fagonia cretica L.,['Roseret']
Umbel·líferes,Ferula communis L.,"['Canya fèl·lera', 'Canyaferla']"
Rubiàcies,Gardenia jasminoides Ellis,['Gardènia']
Gencianàcies,Gentiana lutea L. subsp. lutea,"['Genciana', 'Llenciana']"
Iridàcies,Gladiolus sp.,['Gladiol']
Papaveràcies,Glaucium corniculatum (L.) J.H.Rudolph,['Cascall banyut']
Labiades,Glechoma hederacea L.,"['Hiedra terrestre', 'Heura']"
Pedaliàcies,Harpagophytum procumbens DC.,['Harpagofito']
Cistàcies,Helianthemum nummularium (L.) Mill.,['Morenella']
Cistàcies,Helianthemum oelandicum (L.) DC. in Lam. et DC. subsp. italicum (L.) F.Q. et Rothm.,['Xisto']
Malvàcies,Hibiscus sp.,"['Hibisco', 'Hibisc']"
Malvàcies,Hibiscus syriacus L.,['Altea']
Crucíferes,Hirschfeldia incana (L.) Lagrèze-Fossat,"['Ravenissa', 'Ravenissa groga']"
Apocinàcies,Hoya carnosa R.Br.,['Cerera']
Compostes,Hypochoeris radicata L.,['Herba plana']
Compostes,Inula conyza DC.,['Àrnica']
Oleàcies,Jasminum azoricum L.,['Jasmí']
Malvàcies,Lavatera maritima Gouan,['Malva marina']
Compostes,Leontodon taraxacoides (Vill.) Mérat,['Cama-roja']
Crucíferes,Lepidium graminifolium L.,['Herba pedrera']
Plumbaginàcies,Limonium vulgare Mill. subsp. serotinum (Reichenb.) Gams in Hegi,['Patarra']
Linàcies,Linum narbonense L.,"['Linaza', 'Lino']"
Gramínies,Lolium multiflorum Lam.,['Raigràs']
Caprifoliàcies,Lonicera implexa Ait. subsp. implexa,['Lligabosc']
